MAC; alternativas; MasProb; Elección; MaxProb; ElecProb; %linkOK; %linkNO; %DistOK; %DistNO
10767; 10; 2; 0; 1; 0; 1; 0; 1; 0
10771; 10; 0; 0; 1; 1; 1; 0; 1; 0
10777; 2; 0; 0; 1; 1; 1; 0; 1; 0
10791; 16; 0; 0; 1; 1; 1; 0; 1; 0
10830; 2; 1; 0; 1; 0; 1; 0; 1; 0
10841; 20; 0; 0; 1; 1; 1; 0; 1; 0
10844; 19; 0; 0; 1; 1; 1; 0; 1; 0
10872; 13; 0; 0; 1; 1; 1; 0; 1; 0
10883; 13; 0; 0; 1; 1; 1; 0; 1; 0
10888; 2; 1; 0; 1; 0; 1; 0; 1; 0
10909; 16; 0; 0; 1; 1; 1; 0; 1; 0
10917; 10; 1; 0; 1; 0; 1; 0; 1; 0
10919; 21; 0; 0; 1; 1; 1; 0; 1; 0
10921; 2; 1; 1; 1; 1; 0; 1; 0; 1
10964; 15; 0; 0; 1; 1; 1; 0; 1; 0
10975; 10; 0; 0; 1; 1; 1; 0; 1; 0
10984; 19; 0; 0; 1; 1; 1; 0; 1; 0
10989; 10; 0; 0; 1; 1; 1; 0; 1; 0
11009; 2; 0; 1; 1; 0; 0; 0; 0,500338827293833; 0,499661172706167
11025; 11; 0; 0; 1; 1; 1; 0; 1; 0
11028; 18; 0; 0; 1; 1; 1; 0; 1; 0
11030; 2; 1; 0; 1; 0; 1; 0; 1; 0
11032; 2; 1; 0; 1; 0; 1; 0; 1; 0
11044; 20; 0; 0; 1; 1; 1; 0; 1; 0
11119; 19; 0; 0; 1; 1; 1; 0; 1; 0
11120; 2; 1; 0; 1; 0; 1; 0; 1; 0
11130; 10; 0; 0; 1; 1; 1; 0; 1; 0
11158; 2; 0; 0; 1; 1; 1; 0; 1; 0
11172; 20; 0; 0; 1; 1; 1; 0; 1; 0
11208; 10; 2; 1; 1; 0; 0; 1; 0; 1
11226; 2; 0; 1; 1; 0; 0; 1; 0; 1
11229; 2; 0; 1; 1; 0; 0; 1; 0; 1
11233; 21; 0; 0; 1; 1; 1; 0; 1; 0
11252; 10; 0; 0; 1; 1; 1; 0; 1; 0
11295; 20; 0; 0; 1; 1; 1; 0; 1; 0
11298; 2; 0; 0; 1; 1; 1; 0; 1; 0
11306; 2; 0; 1; 1; 0; 0; 0; 0,499214513767447; 0,500785486232553
11315; 2; 0; 0; 1; 1; 1; 0; 1; 0
11317; 2; 0; 0; 0,5; 0,5; 1; 0; 1; 0
11319; 16; 0; 0; 1; 1; 1; 0; 1; 0
11320; 16; 0; 0; 1; 1; 1; 0; 1; 0
11323; 23; 0; 0; 1; 1; 1; 0; 1; 0
11329; 19; 0; 0; 1; 1; 1; 0; 1; 0
11352; 19; 0; 0; 1; 1; 1; 0; 1; 0
11365; 17; 0; 0; 1; 1; 1; 0; 1; 0
11373; 22; 0; 0; 1; 1; 1; 0; 1; 0
11379; 10; 0; 0; 1; 1; 1; 0; 1; 0
11381; 20; 0; 0; 1; 1; 1; 0; 1; 0
11406; 19; 0; 0; 1; 1; 1; 0; 1; 0
11412; 2; 0; 0; 1; 1; 1; 0; 1; 0
11414; 2; 1; 0; 1; 0; 1; 0; 1; 0
11415; 18; 0; 0; 1; 1; 1; 0; 1; 0
11453; 19; 0; 0; 1; 1; 1; 0; 1; 0
11485; 20; 0; 0; 1; 1; 1; 0; 1; 0
11489; 10; 2; 1; 1; 0; 0; 1; 0; 1
11496; 10; 2; 2; 1; 1; 0; 0; 0,499743375414072; 0,500256624585928
11499; 2; 0; 0; 1; 1; 1; 0; 1; 0
11508; 2; 0; 1; 1; 0; 0; 0; 0,500338827293833; 0,499661172706167
11513; 17; 0; 0; 1; 1; 1; 0; 1; 0
11528; 10; 0; 0; 1; 1; 1; 0; 1; 0
11534; 13; 0; 0; 1; 1; 1; 0; 1; 0
11547; 13; 0; 0; 1; 1; 1; 0; 1; 0
11548; 13; 0; 0; 1; 1; 1; 0; 1; 0
11552; 10; 0; 0; 1; 1; 1; 0; 1; 0
11553; 2; 1; 1; 1; 1; 0; 1; 0; 1
11555; 19; 0; 0; 1; 1; 1; 0; 1; 0
11573; 2; 1; 1; 1; 1; 0; 1; 0; 1
11581; 2; 1; 0; 1; 0; 1; 0; 1; 0
11583; 10; 1; 0; 1; 0; 1; 0; 1; 0
11588; 2; 1; 0; 1; 0; 1; 0; 1; 0
11599; 2; 1; 0; 1; 0; 1; 0; 1; 0
11604; 10; 0; 0; 0,1; 0,1; 1; 0; 1; 0
11607; 2; 0; 0; 1; 1; 1; 0; 1; 0
